Training Fraction,Training Rows,Training AUC,Test AUC
0.2,1120,0.9782269336782015,0.8435101873261619
0.4,2240,0.9793971672944131,0.8491861030126338
0.6,3360,0.9783990442054958,0.8481388860963104
0.8,4480,0.9781302004929443,0.8511527763814886
1.0,5600,0.9774239668157902,0.8530587111691967
