Model,CV Mean AUC,CV Std AUC,Test AUC
Logistic Regression,0.8670930878534803,0.006188164283091382,0.866163583660065
Gradient Boosting,0.8551900555929608,0.004709174913586763,0.858020424918736
Random Forest,0.8386972008745157,0.005167824176929072,0.8521560101873262
Controlled Decision Tree,0.7349409439046081,0.007070328675194176,0.7733100013404377
