Model,Precision,Recall,F1-score,AUC
Logistic Regression C=1.0,0.7674858223062382,0.6904761904761905,0.7269471799462847,0.866163583660065
Logistic Regression C=0.01,0.77431906614786,0.6768707482993197,0.7223230490018149,0.8670139237961194
